iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462872875,503370,517,4,472,1778834054,946759876
462873000,503435,516,4,469,1778834055,75164280
462873125,503499,517,4,473,1778834055,196941648
462873250,503564,517,4,474,1778834055,322200348
462873375,503629,517,4,472,1778834055,447874210
462873500,503693,517,4,467,1778834055,571707698
462873625,503758,517,4,464,1778834055,693824889
462873750,503822,517,4,460,1778834055,820619717
462873875,503887,517,4,457,1778834055,947530262
462874000,503951,517,4,453,1778834056,76789010
462874125,504016,517,4,449,1778834056,197400790
462874250,504081,517,4,447,1778834056,322172391
462874375,504145,517,4,448,1778834056,445597024
462874500,504210,517,4,448,1778834056,565828142
462874625,504274,517,4,445,1778834056,695228335
462874750,504339,517,4,444,1778834056,820166900
462874875,504403,517,4,442,1778834056,945579054
462875000,504468,517,4,443,1778834057,76793976
462875125,504533,517,4,439,1778834057,196232776
462875250,504597,517,4,438,1778834057,321451081
462875375,504662,517,4,436,1778834057,443653766
462875500,504726,517,4,441,1778834057,570708585
462875625,504791,517,4,444,1778834057,697523159
462875750,504855,517,4,444,1778834057,820398614
462875875,504920,517,4,443,1778834057,945362415
462876000,504985,517,4,444,1778834058,75252409
462876125,505049,517,4,450,1778834058,195133441
462876250,505114,517,4,452,1778834058,320667815
462876375,505178,517,4,449,1778834058,447382294
462876500,505243,517,4,448,1778834058,570421199
462876625,505308,517,4,448,1778834058,695304363
462876750,505372,517,4,448,1778834058,819275623
462876875,505437,517,4,450,1778834058,945342761
462877000,505501,517,4,450,1778834059,75620787
462877125,505566,517,4,451,1778834059,197168479
462877250,505631,517,4,455,1778834059,318360046
462877375,505695,517,4,457,1778834059,446380240
462877500,505760,517,4,461,1778834059,570532715
462877625,505824,517,4,463,1778834059,694840399
462877750,505889,517,4,464,1778834059,818498945
462877875,505953,517,4,465,1778834059,946399495
462878000,506018,517,4,468,1778834060,73362050
462878125,506083,517,4,473,1778834060,191356017
462878250,506147,517,4,476,1778834060,319366340
462878375,506212,517,4,477,1778834060,444351931
462878500,506276,517,4,478,1778834060,569461468
462878625,506341,517,4,478,1778834060,695202948
462878750,506406,517,4,477,1778834060,819127989
462878875,506470,517,4,479,1778834060,945229376
462879000,506535,517,4,480,1778834061,69095692
462879125,506599,517,4,480,1778834061,194833277
462879250,506664,517,4,483,1778834061,319924661
462879375,506729,517,4,485,1778834061,445338951
462879500,506793,517,4,487,1778834061,569296514
462879625,506858,517,4,491,1778834061,693501071
462879750,506923,517,4,492,1778834061,817058294
462879875,506987,517,4,492,1778834061,941020890
462880000,507052,517,4,492,1778834062,75193077
462880125,507116,517,4,496,1778834062,195133130
462880250,507181,517,4,496,1778834062,319370114
462880375,507245,517,4,498,1778834062,442454429
462880500,507310,517,4,499,1778834062,568068347
462880625,507375,517,4,499,1778834062,694018681
462880750,507439,517,4,501,1778834062,817928431
462880875,507504,517,4,502,1778834062,945225619
462881000,507568,517,4,502,1778834063,73164892
462881125,507633,517,4,504,1778834063,193213632
462881250,507698,517,4,509,1778834063,319361316
462881375,507762,517,4,509,1778834063,446696749
462881500,507827,517,4,509,1778834063,569983451
462881625,507891,517,4,509,1778834063,695882779
462881750,507956,517,4,508,1778834063,817443003
462881875,508021,517,4,510,1778834063,945143155
462882000,508085,517,4,511,1778834064,74135614
462882125,508150,517,4,511,1778834064,195341789
462882250,508214,517,4,511,1778834064,320891330
462882375,508279,517,4,514,1778834064,447014903
462882500,508343,517,4,514,1778834064,571526414
462882625,508408,517,4,515,1778834064,690860146
462882750,508473,517,4,515,1778834064,819016931
462882875,508537,517,4,515,1778834064,944946453
462883000,508602,517,4,516,1778834065,74797953
462883125,508667,517,4,515,1778834065,195915423
462883250,508731,517,4,515,1778834065,319858529
462883375,508796,517,4,514,1778834065,443819153
462883500,508860,517,4,515,1778834065,563903887
462883625,508925,517,4,515,1778834065,693295203
462883750,508990,517,4,514,1778834065,818244909
462883875,509054,517,4,513,1778834065,944073764
462884000,509119,517,4,512,1778834066,73147981
462884125,509183,517,4,512,1778834066,194100034
462884250,509248,517,4,512,1778834066,319509040
462884375,509313,517,4,511,1778834066,441744461
462884500,509377,517,4,511,1778834066,568206664
462884625,509442,517,4,511,1778834066,694132795
462884750,509506,517,4,511,1778834066,817681824
462884875,509571,517,4,512,1778834066,943719479
462885000,509636,517,4,512,1778834067,73009375
462885125,509700,517,4,513,1778834067,192902961
462885250,509765,517,4,514,1778834067,318400192
462885375,509830,517,4,513,1778834067,444122884
462885500,509894,517,4,512,1778834067,568091476
462885625,509959,517,4,511,1778834067,692758235
462885750,510023,517,4,511,1778834067,816073523
462885875,510088,517,4,511,1778834067,943152923
462886000,510153,517,4,510,1778834068,72186006
462886125,510217,517,4,512,1778834068,193764571
462886250,510282,517,4,511,1778834068,315511980
462886375,510346,517,4,512,1778834068,442864676
462886500,510411,517,4,512,1778834068,568458687
462886625,510475,517,4,511,1778834068,694012084
462886750,510540,517,4,511,1778834068,816796205
462886875,510605,517,4,512,1778834068,944574921
462887000,510669,517,4,513,1778834069,71996869
462887125,510734,517,4,514,1778834069,189706531
462887250,510798,517,4,513,1778834069,318850105
462887375,510863,517,4,515,1778834069,444468209
462887500,510928,517,4,515,1778834069,569778287
462887625,510992,517,4,515,1778834069,693875206
462887750,511057,517,4,513,1778834069,816941936
462887875,511121,517,4,513,1778834069,941987754
462888000,511186,517,4,513,1778834070,68359818
462888125,511251,517,4,513,1778834070,192431821
462888250,511315,517,4,515,1778834070,318004781
462888375,511380,517,4,514,1778834070,443532599
462888500,511445,517,4,514,1778834070,567919337
462888625,511509,517,4,513,1778834070,692857575
462888750,511574,517,4,513,1778834070,816444510
462888875,511638,517,4,513,1778834070,940415428
462889000,511703,517,4,512,1778834071,72353328
462889125,511767,517,4,512,1778834071,194738161
462889250,511832,517,4,512,1778834071,319740688
462889375,511897,517,4,513,1778834071,443281821
462889500,511961,517,4,514,1778834071,567167012
462889625,512026,517,4,514,1778834071,692761780
462889750,512090,517,4,513,1778834071,816365019
462889875,512155,517,4,514,1778834071,942700242
462890000,512220,517,4,515,1778834072,72557098
462890125,512284,517,4,515,1778834072,193785562
462890250,512349,517,4,515,1778834072,318519807
462890375,512413,517,4,515,1778834072,443781259
462890500,512478,517,4,513,1778834072,568410400
462890625,512543,517,4,512,1778834072,694684447
462890750,512607,517,4,513,1778834072,815986109
462890875,512672,517,4,514,1778834072,944226587
462891000,512736,517,4,512,1778834073,72259274
462891125,512801,517,4,512,1778834073,192431327
462891250,512866,517,4,511,1778834073,318499642
462891375,512930,517,4,510,1778834073,443748726
462891500,512995,517,4,509,1778834073,567684576
462891625,513059,517,4,510,1778834073,688589164
462891750,513124,517,4,510,1778834073,815935912
462891875,513188,517,4,510,1778834073,941562961
462892000,513253,517,4,511,1778834074,72216364
462892125,513318,517,4,510,1778834074,193582038
462892250,513382,517,4,511,1778834074,317357424
462892375,513447,517,4,511,1778834074,441538385
462892500,513511,517,4,510,1778834074,563804486
462892625,513576,517,4,510,1778834074,691284039
462892750,513641,517,4,510,1778834074,816454933
462892875,513705,517,4,514,1778834074,941549649
462893000,513770,517,4,514,1778834075,70286251
462893125,513834,517,4,513,1778834075,192223375
462893250,513899,517,4,511,1778834075,317543282
462893375,513964,517,4,511,1778834075,440393798
462893500,514028,517,4,514,1778834075,568486563
462893625,514093,517,4,515,1778834075,694485254
462893750,514157,517,4,514,1778834075,818371745
462893875,514222,517,4,517,1778834075,943396647
462894000,514287,517,4,517,1778834076,72127610
462894125,514351,517,4,519,1778834076,192422919
462894250,514416,517,4,519,1778834076,318180079
462894375,514480,517,4,517,1778834076,443306736
462894500,514545,517,4,516,1778834076,567432262
462894625,514609,517,4,517,1778834076,691505557
462894750,514674,517,4,516,1778834076,816129398
462894875,514739,517,4,515,1778834076,941469434
462895000,514803,517,4,516,1778834077,72180999
462895125,514868,517,4,515,1778834077,193803044
462895250,514932,517,4,514,1778834077,315974805
462895375,514997,517,4,513,1778834077,443022873
462895500,515062,517,4,513,1778834077,567183237
462895625,515126,517,4,513,1778834077,693892045
462895750,515191,517,4,511,1778834077,817494033
462895875,515255,517,4,511,1778834077,944180698
462896000,515320,517,4,509,1778834078,73002089
462896125,515385,517,4,506,1778834078,189153032
462896250,515449,517,4,503,1778834078,319201815
462896375,515514,517,4,501,1778834078,445214197
462896500,515578,517,4,504,1778834078,568861563
462896625,515643,517,4,506,1778834078,695001883
462896750,515708,517,4,501,1778834078,818944248
462896875,515772,517,4,498,1778834078,944150030
462897000,515837,517,4,497,1778834079,68854031
462897125,515901,517,4,503,1778834079,193970530
462897250,515966,517,4,507,1778834079,318961668
462897375,516031,517,4,504,1778834079,444091428
462897500,516095,517,4,504,1778834079,569378975
462897625,516160,517,4,504,1778834079,692859712
462897750,516224,517,4,508,1778834079,816384417
462897875,516289,517,4,511,1778834079,940599360
462898000,516354,517,4,508,1778834080,72207218
462898125,516418,517,4,505,1778834080,193301252
462898250,516483,517,4,503,1778834080,318526367
462898375,516547,517,4,506,1778834080,443020414
462898500,516612,517,4,507,1778834080,566958468
462898625,516677,517,4,503,1778834080,693802146
462898750,516741,517,4,501,1778834080,818766536
462898875,516806,517,4,503,1778834080,944899769
