pinSel,pinBank,pinDir,pinVal,noisePerMS,agcCnt,aStatus,aPower,flags,reserved0,usedMask,VP.len,jamInd,reserved1.len,pinIrq,pullH,pullL,bag_t.secs,bag_t.nsecs
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833856,952093110
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833857,951392813
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833858,951332194
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833859,951501798
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833860,951297373
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833861,951310809
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833862,951369460
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833863,952164027
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833864,951369456
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833865,951525258
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833866,951898766
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833867,952011046
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833868,951363263
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833869,952101715
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833870,951371801
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833871,951338641
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833872,951346233
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833873,951424148
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833874,951300021
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833875,952044986
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833876,951335868
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833877,951359400
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833878,951357622
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833879,951539031
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833880,952423084
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833881,951252178
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833882,952212471
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833883,951387287
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833884,951378339
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833885,951469790
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833886,952023878
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833887,951350739
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833888,952203493
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833889,952172864
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833890,952298717
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833891,952348916
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833892,951744044
33217,65536,32768,26591,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833893,951702591
33217,65536,32768,26591,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833894,952304818
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833895,951507421
33217,65536,32768,26591,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833896,951736704
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833897,952374115
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833898,951496467
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833899,951783118
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833900,951449718
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833901,951491501
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833902,951405284
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833903,951655557
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833904,952379342
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833905,951430246
33217,65536,32768,26591,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833906,952288160
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833907,952145646
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833908,952372270
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833909,952214043
33217,65536,32768,26587,68,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833910,952470005
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833911,951572034
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833912,952213953
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833913,951582601
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833914,952177676
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833915,951678522
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833916,951582023
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833917,951459589
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833918,951537332
33217,65536,32768,92127,74,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833919,951695195
33217,65536,32768,26591,74,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833920,951628683
33217,65536,32768,26587,73,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833921,951490340
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833922,951460505
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833923,952484962
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833924,952228154
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833925,952450322
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833926,951592928
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833927,951496751
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833928,951586457
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,8,2,0,31707,0,1778833929,952115322
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833930,951871533
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833931,951487500
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833932,951521916
33217,65536,32768,26591,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833933,952295845
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833934,952131588
33217,65536,32768,26587,69,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833935,952637947
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833936,952586272
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833937,951747054
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833938,951797854
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833939,951598824
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833940,951591437
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833941,951724407
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833942,951729049
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833943,951686325
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833944,952658864
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833945,952255560
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833946,951752805
33217,65536,32768,26591,70,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833947,952443009
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833948,951733904
33217,65536,32768,26587,70,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833949,951612430
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833950,952368157
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833951,952176900
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,7,2,0,31707,0,1778833952,952374360
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833953,952287080
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833954,952495120
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833955,952690023
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833956,952317845
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,3,2,0,31707,0,1778833957,952649647
33217,65536,32768,26591,71,3159,1,2,1,133,131006,17,6,2,0,31707,0,1778833958,951642186
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,4,2,0,31707,0,1778833959,952521576
33217,65536,32768,26587,71,3159,1,2,1,133,131006,17,5,2,0,31707,0,1778833960,952743026
