iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462659875,3,223,2,8,7124176,7807927,1778833841,941840785
462660000,3,223,2,8,7124176,7808052,1778833842,73021433
462660125,3,223,2,8,7124176,7808177,1778833842,191790786
462660250,3,223,2,8,7124176,7808302,1778833842,317969202
462660375,3,223,2,8,7124176,7808427,1778833842,442264314
462660500,3,223,2,8,7124176,7808552,1778833842,567449768
462660625,3,223,2,8,7124176,7808677,1778833842,691775402
462660750,3,223,2,8,7124176,7808802,1778833842,817083064
462660875,3,223,2,8,7124176,7808927,1778833842,943357994
462661000,3,223,2,8,7124176,7809052,1778833843,73216988
462661125,3,223,2,8,7124176,7809177,1778833843,193242054
462661250,3,223,2,8,7124176,7809302,1778833843,316776017
462661375,3,223,2,8,7124176,7809427,1778833843,442154944
462661500,3,223,2,8,7124176,7809552,1778833843,567914978
462661625,3,223,2,8,7124176,7809677,1778833843,692809154
462661750,3,223,2,8,7124176,7809802,1778833843,818241486
462661875,3,223,2,8,7124176,7809927,1778833843,943831350
462662000,3,223,2,8,7124176,7810052,1778833844,72917795
462662125,3,223,2,8,7124176,7810177,1778833844,189749212
462662250,3,223,2,8,7124176,7810302,1778833844,318901885
462662375,3,223,2,8,7124176,7810427,1778833844,443257321
462662500,3,223,2,8,7124176,7810552,1778833844,569803959
462662625,3,223,2,8,7124176,7810677,1778833844,693245947
462662750,3,223,2,8,7124176,7810802,1778833844,816332466
462662875,3,223,2,8,7124176,7810927,1778833844,941246773
462663000,3,223,2,8,7124176,7811052,1778833845,66976240
462663125,3,223,2,8,7124176,7811177,1778833845,192902742
462663250,3,223,2,8,7124176,7811302,1778833845,318994277
462663375,3,223,2,8,7124176,7811427,1778833845,444332822
462663500,3,223,2,8,7124176,7811552,1778833845,568586516
462663625,3,223,2,8,7124176,7811677,1778833845,692868252
462663750,3,223,2,8,7124176,7811802,1778833845,818226853
462663875,3,223,2,8,7124176,7811927,1778833845,941841043
462664000,3,223,2,8,7124176,7812052,1778833846,74132641
462664125,3,223,2,8,7124176,7812177,1778833846,194283581
462664250,3,223,2,8,7124176,7812302,1778833846,319130238
462664375,3,223,2,8,7124176,7812427,1778833846,444181125
462664500,3,223,2,8,7124176,7812552,1778833846,567952930
462664625,3,223,2,8,7124176,7812677,1778833846,692415196
462664750,3,223,2,8,7124176,7812802,1778833846,817999736
462664875,3,223,2,8,7124176,7812927,1778833846,944267628
462665000,3,223,2,8,7124176,7813052,1778833847,75853545
462665125,3,223,2,8,7124176,7813177,1778833847,194233200
462665250,3,223,2,8,7124176,7813302,1778833847,319252951
462665375,3,223,2,8,7124176,7813427,1778833847,443241198
462665500,3,223,2,8,7124176,7813552,1778833847,569079194
462665625,3,223,2,8,7124176,7813677,1778833847,694040186
462665750,3,223,2,8,7124176,7813802,1778833847,814993644
462665875,3,223,2,8,7124176,7813927,1778833847,941944166
462666000,3,223,2,8,7124176,7814052,1778833848,72449032
462666125,3,223,2,8,7124176,7814177,1778833848,195097045
462666250,3,223,2,8,7124176,7814302,1778833848,319108852
462666375,3,223,2,8,7124176,7814427,1778833848,442058654
462666500,3,223,2,8,7124176,7814552,1778833848,567783349
462666625,3,223,2,8,7124176,7814677,1778833848,688827861
462666750,3,223,2,8,7124176,7814802,1778833848,817136110
462666875,3,223,2,8,7124176,7814927,1778833848,941667011
462667000,3,223,2,8,7124176,7815052,1778833849,72287956
462667125,3,223,2,8,7124176,7815177,1778833849,192292194
462667250,3,223,2,8,7124176,7815302,1778833849,318976974
462667375,3,223,2,8,7124176,7815427,1778833849,441701237
462667500,3,223,2,8,7124176,7815552,1778833849,564032894
462667625,3,223,2,8,7124176,7815677,1778833849,692039719
462667750,3,223,2,8,7124176,7815802,1778833849,818375273
462667875,3,223,2,8,7124176,7815927,1778833849,943189985
462668000,3,223,2,8,7124176,7816052,1778833850,71939541
462668125,3,223,2,8,7124176,7816177,1778833850,192139753
462668250,3,223,2,8,7124176,7816302,1778833850,316866498
462668375,3,223,2,8,7124176,7816427,1778833850,439648283
462668500,3,223,2,8,7124176,7816552,1778833850,567213735
462668625,3,223,2,8,7124176,7816677,1778833850,692040309
462668750,3,223,2,8,7124176,7816802,1778833850,817055988
462668875,3,223,2,8,7124176,7816927,1778833850,940410966
462669000,3,223,2,8,7124176,7817052,1778833851,71095461
462669125,3,223,2,8,7124176,7817177,1778833851,191820563
462669250,3,223,2,8,7124176,7817302,1778833851,318173475
462669375,3,223,2,8,7124176,7817427,1778833851,441165260
462669500,3,223,2,8,7124176,7817552,1778833851,566760533
462669625,3,223,2,8,7124176,7817677,1778833851,691199848
462669750,3,223,2,8,7124176,7817802,1778833851,815340362
462669875,3,223,2,8,7124176,7817927,1778833851,940852222
462670000,3,223,2,8,7124176,7818052,1778833852,72769836
462670125,3,223,2,8,7124176,7818177,1778833852,192844078
462670250,3,223,2,8,7124176,7818302,1778833852,315248151
462670375,3,223,2,8,7124176,7818427,1778833852,441781109
462670500,3,223,2,8,7124176,7818552,1778833852,567199203
462670625,3,223,2,8,7124176,7818677,1778833852,691923016
462670750,3,223,2,8,7124176,7818802,1778833852,818346289
462670875,3,223,2,8,7124176,7818927,1778833852,942256885
462671000,3,223,2,8,7124176,7819052,1778833853,71440126
462671125,3,223,2,8,7124176,7819177,1778833853,187836301
462671250,3,223,2,8,7124176,7819302,1778833853,317332540
462671375,3,223,2,8,7124176,7819427,1778833853,441280396
462671500,3,223,2,8,7124176,7819552,1778833853,567367782
462671625,3,223,2,8,7124176,7819677,1778833853,692100929
462671750,3,223,2,8,7124176,7819802,1778833853,817391259
462671875,3,223,2,8,7124176,7819927,1778833853,942020699
462672000,3,223,2,8,7124176,7820052,1778833854,67903662
462672125,3,223,2,8,7124176,7820177,1778833854,191999932
462672250,3,223,2,8,7124176,7820302,1778833854,317548543
462672375,3,223,2,8,7124176,7820427,1778833854,442137287
462672500,3,223,2,8,7124176,7820552,1778833854,568503925
462672625,3,223,2,8,7124176,7820677,1778833854,691388097
462672750,3,223,2,8,7124176,7820802,1778833854,816007141
462672875,3,223,2,8,7124176,7820927,1778833854,938943243
462673000,3,223,2,8,7124176,7821052,1778833855,71758517
462673125,3,223,2,8,7124176,7821177,1778833855,192327938
462673250,3,223,2,8,7124176,7821302,1778833855,317182340
462673375,3,223,2,8,7124176,7821427,1778833855,440943056
462673500,3,223,2,8,7124176,7821552,1778833855,566908393
462673625,3,223,2,8,7124176,7821677,1778833855,692426997
462673750,3,223,2,8,7124176,7821802,1778833855,816370663
462673875,3,223,2,8,7124176,7821927,1778833855,941478077
462674000,3,223,2,8,7124176,7822052,1778833856,72004579
462674125,3,223,2,8,7124176,7822177,1778833856,191456885
462674250,3,223,2,8,7124176,7822302,1778833856,317357555
462674375,3,223,2,8,7124176,7822427,1778833856,441250170
462674500,3,223,2,8,7124176,7822552,1778833856,568278290
462674625,3,223,2,8,7124176,7822677,1778833856,692384784
462674750,3,223,2,8,7124176,7822802,1778833856,814511168
462674875,3,223,2,8,7124176,7822927,1778833856,941360756
462675000,3,223,2,8,7124176,7823052,1778833857,72884291
462675125,3,223,2,8,7124176,7823177,1778833857,192062275
462675250,3,223,2,8,7124176,7823302,1778833857,317835532
462675375,3,223,2,8,7124176,7823427,1778833857,442053352
462675500,3,223,2,8,7124176,7823552,1778833857,567131541
462675625,3,223,2,8,7124176,7823677,1778833857,688133978
462675750,3,223,2,8,7124176,7823802,1778833857,815964411
462675875,3,223,2,8,7124176,7823927,1778833857,940261387
462676000,3,223,2,8,7124176,7824052,1778833858,71394791
462676125,3,223,2,8,7124176,7824177,1778833858,192965369
462676250,3,223,2,8,7124176,7824302,1778833858,318375877
462676375,3,223,2,8,7124176,7824427,1778833858,441038105
462676500,3,223,2,8,7124176,7824552,1778833858,561944657
462676625,3,223,2,8,7124176,7824677,1778833858,692109011
462676750,3,223,2,8,7124176,7824802,1778833858,817154932
462676875,3,223,2,8,7124176,7824927,1778833858,941226752
462677000,3,223,2,8,7124176,7825052,1778833859,71954340
462677125,3,223,2,8,7124176,7825177,1778833859,191253046
462677250,3,223,2,8,7124176,7825302,1778833859,316756170
462677375,3,223,2,8,7124176,7825427,1778833859,439142502
462677500,3,223,2,8,7124176,7825552,1778833859,568939751
462677625,3,223,2,8,7124176,7825677,1778833859,692062188
462677750,3,223,2,8,7124176,7825802,1778833859,815944866
462677875,3,223,2,8,7124176,7825927,1778833859,939779561
462678000,3,223,2,8,7124176,7826052,1778833860,69769695
462678125,3,223,2,8,7124176,7826177,1778833860,189970184
462678250,3,223,2,8,7124176,7826302,1778833860,315971711
462678375,3,223,2,8,7124176,7826427,1778833860,440231495
462678500,3,223,2,8,7124176,7826552,1778833860,565061949
462678625,3,223,2,8,7124176,7826677,1778833860,689910455
462678750,3,223,2,8,7124176,7826802,1778833860,814166841
462678875,3,223,2,8,7124176,7826927,1778833860,939090937
462679000,3,223,2,8,7124176,7827052,1778833861,69022706
462679125,3,223,2,8,7124176,7827177,1778833861,190101258
462679250,3,223,2,8,7124176,7827302,1778833861,313116656
462679375,3,223,2,8,7124176,7827427,1778833861,439184444
462679500,3,223,2,8,7124176,7827552,1778833861,564925508
462679625,3,223,2,8,7124176,7827677,1778833861,689278981
462679750,3,223,2,8,7124176,7827802,1778833861,814755185
462679875,3,223,2,8,7124176,7827927,1778833861,939198951
462680000,3,223,2,8,7124176,7828052,1778833862,70324215
462680125,3,223,2,8,7124176,7828177,1778833862,186238985
462680250,3,223,2,8,7124176,7828302,1778833862,315764427
462680375,3,223,2,8,7124176,7828427,1778833862,439008949
462680500,3,223,2,8,7124176,7828552,1778833862,566211018
462680625,3,223,2,8,7124176,7828677,1778833862,691217349
