version,reserved0,refStationId,iTow,relPosN,relPosE,relPosD,relPosLength,relPosHeading,reserved1,relPosHPN,relPosHPE,relPosHPD,relPosHPLength,accN,accE,accD,accLength,accHeading,reserved2,flags,bag_t.secs,bag_t.nsecs
1,0,0,462686250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,317008812
1,0,0,462686375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,439518913
1,0,0,462686500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,568057923
1,0,0,462686625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,693041247
1,0,0,462686750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,816080437
1,0,0,462686875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833868,940397034
1,0,0,462687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,71038715
1,0,0,462687125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,192846552
1,0,0,462687250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,318949461
1,0,0,462687375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,445529115
1,0,0,462687500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,570457064
1,0,0,462687625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,694589715
1,0,0,462687750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,817381404
1,0,0,462687875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833869,942422535
1,0,0,462688000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,74115969
1,0,0,462688125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,194380657
1,0,0,462688250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,317352772
1,0,0,462688375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,442201596
1,0,0,462688500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,566979356
1,0,0,462688625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,692428354
1,0,0,462688750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,817372718
1,0,0,462688875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833870,944437060
1,0,0,462689000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,73270531
1,0,0,462689125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,189622237
1,0,0,462689250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,319074733
1,0,0,462689375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,444228191
1,0,0,462689500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,568875562
1,0,0,462689625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,694277951
1,0,0,462689750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,818397750
1,0,0,462689875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833871,941910344
1,0,0,462690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,68366339
1,0,0,462690125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,193168801
1,0,0,462690250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,319249704
1,0,0,462690375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,444293761
1,0,0,462690500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,568977639
1,0,0,462690625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,692937787
1,0,0,462690750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,818120635
1,0,0,462690875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833872,941363076
1,0,0,462691000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,74333347
1,0,0,462691125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,194828086
1,0,0,462691250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,320114385
1,0,0,462691375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,444375584
1,0,0,462691500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,568402341
1,0,0,462691625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,693450555
1,0,0,462691750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,819597429
1,0,0,462691875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833873,944451990
1,0,0,462692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,73829830
1,0,0,462692125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,193385841
1,0,0,462692250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,319869946
1,0,0,462692375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,443402563
1,0,0,462692500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,570062248
1,0,0,462692625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,693512330
1,0,0,462692750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,816178039
1,0,0,462692875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833874,942166599
1,0,0,462693000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,72271598
1,0,0,462693125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,194098840
1,0,0,462693250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,319084560
1,0,0,462693375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,444783511
1,0,0,462693500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,568837774
1,0,0,462693625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,689140382
1,0,0,462693750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,817453775
1,0,0,462693875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833875,942458696
1,0,0,462694000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,73351526
1,0,0,462694125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,195350097
1,0,0,462694250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,320304726
1,0,0,462694375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,444138758
1,0,0,462694500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,565284562
1,0,0,462694625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,694419153
1,0,0,462694750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,820142907
1,0,0,462694875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833876,946432225
1,0,0,462695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,76084148
1,0,0,462695125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,195361563
1,0,0,462695250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,320064965
1,0,0,462695375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,441438329
