header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance,bag_t.secs,bag_t.nsecs
1569,1778833870,624591754,gps,2.6310000000000002,-2.1350000000000002,-0.127,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,688542139
1570,1778833870,749591689,gps,2.602,-2.084,-0.11,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,814227238
1571,1778833870,874591624,gps,2.625,-2.128,-0.114,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833870,940064100
1572,1778833870,999591561,gps,2.57,-2.189,-0.111,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,69404234
1573,1778833871,124591495,gps,2.58,-2.191,-0.123,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,186385304
1574,1778833871,249591431,gps,2.658,-2.182,-0.107,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,315053968
1575,1778833871,374591366,gps,2.556,-2.1750000000000003,-0.101,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,440080098
1576,1778833871,499591301,gps,2.475,-2.1630000000000003,-0.096,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,564942039
1577,1778833871,624591237,gps,2.442,-2.114,-0.10400000000000001,0.0,0.0,0.0,0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.028224000000000003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,690298507
1578,1778833871,749591172,gps,2.4130000000000003,-2.173,-0.093,0.0,0.0,0.0,0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.027889000000000004;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1778833871,814968787
