iTOW,ecefX,ecefY,ecefZ,pAcc,bag_t.secs,bag_t.nsecs
462662500,-311168001,406355535,379339783,180,1778833844,564953523
462662625,-311168034,406355530,379339761,180,1778833844,689630405
462662750,-311168068,406355524,379339739,180,1778833844,813263630
462662875,-311168101,406355518,379339715,180,1778833844,938385624
462663000,-311168133,406355514,379339692,180,1778833845,63972152
462663125,-311168164,406355508,379339673,180,1778833845,189326744
462663250,-311168195,406355502,379339652,180,1778833845,315199026
462663375,-311168225,406355499,379339632,180,1778833845,440147582
462663500,-311168253,406355495,379339611,180,1778833845,565067517
462663625,-311168282,406355492,379339593,181,1778833845,689398327
462663750,-311168309,406355488,379339573,181,1778833845,814773130
462663875,-311168336,406355485,379339555,181,1778833845,939051002
462664000,-311168361,406355481,379339537,181,1778833846,71100814
462664125,-311168386,406355478,379339520,181,1778833846,190885328
462664250,-311168411,406355477,379339505,181,1778833846,315443424
462664375,-311168433,406355472,379339487,181,1778833846,439987852
462664500,-311168457,406355470,379339470,181,1778833846,564199805
462664625,-311168480,406355465,379339453,181,1778833846,689314821
462664750,-311168506,406355461,379339437,181,1778833846,814823879
462664875,-311168532,406355456,379339419,181,1778833846,939829011
462665000,-311168559,406355453,379339399,181,1778833847,70917790
462665125,-311168587,406355448,379339379,181,1778833847,190571109
462665250,-311168617,406355443,379339357,182,1778833847,316013355
462665375,-311168650,406355441,379339336,182,1778833847,439464500
462665500,-311168682,406355436,379339312,182,1778833847,565355880
462665625,-311168715,406355430,379339287,182,1778833847,690170591
462665750,-311168749,406355424,379339261,182,1778833847,812023464
462665875,-311168786,406355421,379339237,182,1778833847,938427171
462666000,-311168820,406355415,379339209,182,1778833848,69211310
462666125,-311168857,406355412,379339184,182,1778833848,192032408
462666250,-311168894,406355407,379339160,182,1778833848,315614243
462666375,-311168927,406355402,379339133,182,1778833848,439022478
462666500,-311168961,406355399,379339109,182,1778833848,564125510
462666625,-311168995,406355390,379339087,183,1778833848,685453681
462666750,-311169029,406355381,379339066,183,1778833848,814062791
462666875,-311169062,406355376,379339045,183,1778833848,938418521
462667000,-311169095,406355369,379339026,183,1778833849,69221352
462667125,-311169124,406355359,379339006,183,1778833849,189055045
462667250,-311169155,406355351,379338986,183,1778833849,315083484
462667375,-311169186,406355344,379338968,183,1778833849,438435599
462667500,-311169215,406355337,379338949,183,1778833849,559150521
462667625,-311169244,406355332,379338930,183,1778833849,688890668
462667750,-311169274,406355326,379338912,183,1778833849,815013345
462667875,-311169300,406355322,379338894,183,1778833849,939418127
462668000,-311169326,406355317,379338877,183,1778833850,68670939
462668125,-311169349,406355311,379338860,183,1778833850,188426848
462668250,-311169372,406355306,379338844,184,1778833850,313529722
462668375,-311169396,406355302,379338827,184,1778833850,436534858
462668500,-311169420,406355296,379338810,184,1778833850,563764528
462668625,-311169445,406355293,379338793,184,1778833850,689044392
462668750,-311169470,406355288,379338775,184,1778833850,813454353
462668875,-311169497,406355283,379338756,184,1778833850,937448645
462669000,-311169523,406355277,379338734,184,1778833851,67780347
462669125,-311169553,406355274,379338714,184,1778833851,188448920
462669250,-311169584,406355269,379338694,184,1778833851,314795531
462669375,-311169613,406355262,379338671,185,1778833851,438216649
462669500,-311169644,406355258,379338649,185,1778833851,562368509
462669625,-311169676,406355255,379338627,185,1778833851,687941785
462669750,-311169707,406355249,379338605,185,1778833851,812450757
462669875,-311169740,406355244,379338581,185,1778833851,938772635
462670000,-311169772,406355240,379338555,185,1778833852,68257509
462670125,-311169805,406355235,379338533,185,1778833852,189294182
462670250,-311169840,406355232,379338510,185,1778833852,312123856
462670375,-311169872,406355227,379338484,185,1778833852,438472633
462670500,-311169905,406355224,379338459,186,1778833852,563326500
462670625,-311169939,406355219,379338436,186,1778833852,688617345
462670750,-311169970,406355210,379338411,186,1778833852,815057098
462670875,-311170002,406355207,379338389,186,1778833852,939164265
462671000,-311170036,406355202,379338366,186,1778833853,68511475
462671125,-311170066,406355199,379338343,186,1778833853,184763367
462671250,-311170098,406355196,379338320,186,1778833853,314333682
462671375,-311170128,406355190,379338297,186,1778833853,438335539
462671500,-311170158,406355186,379338276,186,1778833853,564092107
462671625,-311170187,406355181,379338254,186,1778833853,689046357
462671750,-311170218,406355178,379338233,186,1778833853,814508009
462671875,-311170245,406355172,379338211,187,1778833853,938541251
462672000,-311170275,406355168,379338193,187,1778833854,64413195
462672125,-311170303,406355162,379338174,187,1778833854,188656523
462672250,-311170331,406355159,379338154,187,1778833854,315116606
462672375,-311170358,406355154,379338134,187,1778833854,439193624
462672500,-311170386,406355148,379338115,187,1778833854,563248434
462672625,-311170416,406355144,379338095,187,1778833854,688324941
462672750,-311170444,406355138,379338074,188,1778833854,813130936
462672875,-311170472,406355132,379338051,188,1778833854,936034135
462673000,-311170505,406355125,379338028,188,1778833855,68510718
462673125,-311170538,406355121,379338006,188,1778833855,189097817
462673250,-311170571,406355114,379337981,188,1778833855,314116436
462673375,-311170606,406355108,379337956,188,1778833855,437597375
462673500,-311170643,406355101,379337931,188,1778833855,562396374
462673625,-311170682,406355095,379337906,189,1778833855,689222526
462673750,-311170719,406355087,379337877,189,1778833855,813484425
462673875,-311170757,406355081,379337851,189,1778833855,938384714
462674000,-311170798,406355074,379337825,189,1778833856,68517393
462674125,-311170836,406355067,379337794,189,1778833856,188268945
462674250,-311170877,406355062,379337767,190,1778833856,314387959
462674375,-311170915,406355056,379337740,190,1778833856,438204180
462674500,-311170952,406355050,379337712,190,1778833856,564425861
462674625,-311170987,406355043,379337685,190,1778833856,689299507
462674750,-311171025,406355040,379337661,190,1778833856,811281690
462674875,-311171059,406355032,379337634,191,1778833856,938107760
462675000,-311171096,406355027,379337612,191,1778833857,68242782
462675125,-311171129,406355022,379337589,191,1778833857,189006938
462675250,-311171164,406355015,379337565,191,1778833857,314461197
462675375,-311171195,406355011,379337544,191,1778833857,438580983
462675500,-311171226,406355002,379337525,192,1778833857,563355689
462675625,-311171255,406354995,379337501,192,1778833857,685069106
462675750,-311171286,406354991,379337481,192,1778833857,813020848
462675875,-311171315,406354985,379337458,192,1778833857,937260748
462676000,-311171347,406354977,379337438,192,1778833858,68423918
462676125,-311171381,406354974,379337417,193,1778833858,189526004
462676250,-311171412,406354969,379337390,193,1778833858,315233194
462676375,-311171448,406354966,379337368,193,1778833858,437637119
462676500,-311171484,406354959,379337342,193,1778833858,559219993
462676625,-311171520,406354952,379337315,193,1778833858,688994097
462676750,-311171557,406354946,379337291,194,1778833858,814141544
462676875,-311171594,406354939,379337266,194,1778833858,938307865
462677000,-311171630,406354936,379337241,194,1778833859,68590149
462677125,-311171660,406354929,379337214,194,1778833859,188382364
462677250,-311171695,406354926,379337191,195,1778833859,313499095
462677375,-311171727,406354924,379337166,195,1778833859,436313164
462677500,-311171756,406354920,379337141,195,1778833859,563567564
462677625,-311171784,406354915,379337122,195,1778833859,689026386
462677750,-311171812,406354910,379337101,195,1778833859,812465909
462677875,-311171836,406354906,379337080,195,1778833859,936455120
462678000,-311171863,406354904,379337065,196,1778833860,66800459
462678125,-311171887,406354902,379337046,196,1778833860,187185667
462678250,-311171907,406354894,379337028,196,1778833860,313015891
462678375,-311171929,406354892,379337012,196,1778833860,437248611
462678500,-311171950,406354890,379336997,196,1778833860,561122763
462678625,-311171974,406354889,379336980,196,1778833860,686689194
462678750,-311171996,406354883,379336965,197,1778833860,811269291
462678875,-311172020,406354877,379336950,197,1778833860,936126809
462679000,-311172043,406354874,379336932,197,1778833861,65363536
462679125,-311172069,406354868,379336914,197,1778833861,187323622
462679250,-311172097,406354862,379336895,197,1778833861,309977611
