header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,bag_t.secs,bag_t.nsecs
1297,1778833836,999609133,gps,360979.4596941897,4065956.1502785687,98.328,0.0,0.0,0.0,0.0,1778833837,70633203
1298,1778833837,124609067,gps,360979.486123582,4065956.127655127,98.324,0.0,0.0,0.0,0.0,1778833837,191636785
1299,1778833837,249609003,gps,360979.4946929471,4065956.1053219843,98.322,0.0,0.0,0.0,0.0,1778833837,317118453
1300,1778833837,374608938,gps,360979.5030819861,4065956.0718948483,98.31,0.0,0.0,0.0,0.0,1778833837,439625270
1301,1778833837,499608873,gps,360979.53862171853,4065956.0602202485,98.31,0.0,0.0,0.0,0.0,1778833837,565150212
1302,1778833837,624608809,gps,360979.5648707864,4065956.0265028104,98.311,0.0,0.0,0.0,0.0,1778833837,690074189
1303,1778833837,749608744,gps,360979.5823701656,4065956.004024519,98.287,0.0,0.0,0.0,0.0,1778833837,816206147
1304,1778833837,874608680,gps,360979.6086192338,4065955.9703070796,98.273,0.0,0.0,0.0,0.0,1778833837,941207455
1305,1778833837,999608616,gps,360979.6261186133,4065955.9478287874,98.276,0.0,0.0,0.0,0.0,1778833838,71478378
1306,1778833838,124608551,gps,360979.6521873572,4065955.9030173547,98.296,0.0,0.0,0.0,0.0,1778833838,190418964
1307,1778833838,249608486,gps,360979.67861675203,4065955.880393911,98.274,0.0,0.0,0.0,0.0,1778833838,316564671
1308,1778833838,374608421,gps,360979.70468549646,4065955.8355824784,98.262,0.0,0.0,0.0,0.0,1778833838,441219459
1309,1778833838,499608357,gps,360979.73986458103,4065955.8017198904,98.239,0.0,0.0,0.0,0.0,1778833838,567031142
1310,1778833838,624608292,gps,360979.76629397506,4065955.7790964474,98.28,0.0,0.0,0.0,0.0,1778833838,691482470
1311,1778833838,749608228,gps,360979.7923627203,4065955.7342850147,98.23700000000001,0.0,0.0,0.0,0.0,1778833838,813203239
1312,1778833838,874608163,gps,360979.8184314658,4065955.689473581,98.253,0.0,0.0,0.0,0.0,1778833838,939191134
1313,1778833838,999608099,gps,360979.84468053735,4065955.655756144,98.248,0.0,0.0,0.0,0.0,1778833839,69264455
1314,1778833839,124608034,gps,360979.88003994623,4065955.6329875514,98.263,0.0,0.0,0.0,0.0,1778833839,190124800
1315,1778833839,249607969,gps,360979.8884289886,4065955.5995604135,98.258,0.0,0.0,0.0,0.0,1778833839,315439777
1316,1778833839,374607905,gps,360979.9148583837,4065955.5769369733,98.227,0.0,0.0,0.0,0.0,1778833839,439509002
1317,1778833839,499607840,gps,360979.9409271304,4065955.5321255405,98.284,0.0,0.0,0.0,0.0,1778833839,564518395
1318,1778833839,624607775,gps,360979.9671762016,4065955.4984081034,98.266,0.0,0.0,0.0,0.0,1778833839,686323122
1319,1778833839,749607711,gps,360980.0023552886,4065955.464545515,98.247,0.0,0.0,0.0,0.0,1778833839,814328566
1320,1778833839,874607646,gps,360980.03699340334,4065955.397400942,98.23100000000001,0.0,0.0,0.0,0.0,1778833839,939780915
1321,1778833839,999607583,gps,360980.0982412393,4065955.3187269242,98.233,0.0,0.0,0.0,0.0,1778833840,70224313
1322,1778833840,124607517,gps,360980.1953894596,4065955.2505663005,98.23,0.0,0.0,0.0,0.0,1778833840,190214491
1323,1778833840,249607453,gps,360980.25609632646,4065955.138610296,98.23400000000001,0.0,0.0,0.0,0.0,1778833840,315725087
1324,1778833840,374607388,gps,360980.3525232565,4065955.026073693,98.22,0.0,0.0,0.0,0.0,1778833840,440001210
1325,1778833840,499607323,gps,360980.4664495718,4065954.8910588017,98.21600000000001,0.0,0.0,0.0,0.0,1778833840,561152072
1326,1778833840,624607259,gps,360980.58019556844,4065954.744949915,98.22200000000001,0.0,0.0,0.0,0.0,1778833840,688671163
1327,1778833840,749607194,gps,360980.72073161474,4065954.5984055824,98.19500000000001,0.0,0.0,0.0,0.0,1778833840,814876122
1328,1778833840,874607130,gps,360980.90591774613,4065954.4511355036,98.214,0.0,0.0,0.0,0.0,1778833840,939645136
1329,1778833840,999607066,gps,360981.07306352904,4065954.293061734,98.22,0.0,0.0,0.0,0.0,1778833841,69435146
1330,1778833841,124607000,gps,360981.2668190439,4065954.1234585256,98.206,0.0,0.0,0.0,0.0,1778833841,188661043
1331,1778833841,249606936,gps,360981.4698652278,4065953.9758981615,98.179,0.0,0.0,0.0,0.0,1778833841,314589380
1332,1778833841,374606871,gps,360981.68148079084,4065953.8060046663,98.174,0.0,0.0,0.0,0.0,1778833841,437223949
1333,1778833841,499606806,gps,360981.89291604067,4065953.625017179,98.19500000000001,0.0,0.0,0.0,0.0,1778833841,564063728
1334,1778833841,624606742,gps,360982.10435129947,4065953.4440296995,98.185,0.0,0.0,0.0,0.0,1778833841,689253097
1335,1778833841,749606677,gps,360982.29810685385,4065953.274426514,98.151,0.0,0.0,0.0,0.0,1778833841,813640609
1336,1778833841,874606613,gps,360982.491862416,4065953.104823334,98.152,0.0,0.0,0.0,0.0,1778833841,938319178
1337,1778833841,999606549,gps,360982.68579830637,4065952.946314154,98.156,0.0,0.0,0.0,0.0,1778833842,68682171
1338,1778833842,124606484,gps,360982.844194455,4065952.7994795637,98.145,0.0,0.0,0.0,0.0,1778833842,188500944
1339,1778833842,249606419,gps,360983.0293806617,4065952.6522095343,98.135,0.0,0.0,0.0,0.0,1778833842,314843252
1340,1778833842,374606354,gps,360983.19652651914,4065952.494135808,98.143,0.0,0.0,0.0,0.0,1778833842,439543514
1341,1778833842,499606290,gps,360983.36403302196,4065952.3582500755,98.11200000000001,0.0,0.0,0.0,0.0,1778833842,564187425
1342,1778833842,624606225,gps,360983.5399285896,4065952.1889372147,98.09400000000001,0.0,0.0,0.0,0.0,1778833842,688534407
1343,1778833842,749606160,gps,360983.7154635258,4065951.997436369,98.10900000000001,0.0,0.0,0.0,0.0,1778833842,814248216
1344,1778833842,874606096,gps,360983.90885850845,4065951.8056452326,98.08500000000001,0.0,0.0,0.0,0.0,1778833842,939564963
1345,1778833842,999606032,gps,360984.1111835168,4065951.6137089552,98.071,0.0,0.0,0.0,0.0,1778833843,70141284
1346,1778833843,124605967,gps,360984.32225823554,4065951.4105335427,98.052,0.0,0.0,0.0,0.0,1778833843,189934324
1347,1778833843,249605902,gps,360984.55119300284,4065951.207067843,98.07900000000001,0.0,0.0,0.0,0.0,1778833843,313518886
1348,1778833843,374605837,gps,360984.75297708786,4065950.9818495978,98.051,0.0,0.0,0.0,0.0,1778833843,439208126
1349,1778833843,499605773,gps,360984.97298185655,4065950.7785290563,98.039,0.0,0.0,0.0,0.0,1778833843,564295827
1350,1778833843,624605708,gps,360985.1924456857,4065950.541926536,98.026,0.0,0.0,0.0,0.0,1778833843,689536962
1351,1778833843,749605643,gps,360985.42994988285,4065950.3161277273,98.038,0.0,0.0,0.0,0.0,1778833843,815075838
1352,1778833843,874605579,gps,360985.6762037959,4065950.079089787,98.005,0.0,0.0,0.0,0.0,1778833843,939999195
1353,1778833843,999605515,gps,360985.9310271128,4065949.819718719,97.979,0.0,0.0,0.0,0.0,1778833844,69570500
1354,1778833844,124605450,gps,360986.20353017,4065949.5489633777,97.974,0.0,0.0,0.0,0.0,1778833844,187031991
1355,1778833844,249605385,gps,360986.4847829498,4065949.266968907,97.97200000000001,0.0,0.0,0.0,0.0,1778833844,315395149
1356,1778833844,374605320,gps,360986.75728604244,4065948.9962135847,97.96000000000001,0.0,0.0,0.0,0.0,1778833844,439695375
1357,1778833844,499605256,gps,360987.04746888124,4065948.71407399,97.915,0.0,0.0,0.0,0.0,1778833844,565052514
1358,1778833844,624605191,gps,360987.3376517381,4065948.431934406,97.91,0.0,0.0,0.0,0.0,1778833844,689771655
1359,1778833844,749605127,gps,360987.6278346154,4065948.149794833,97.906,0.0,0.0,0.0,0.0,1778833844,813414700
1360,1778833844,874605062,gps,360987.9180175121,4065947.8676552703,97.891,0.0,0.0,0.0,0.0,1778833844,938485933
1361,1778833844,999604998,gps,360988.1992704044,4065947.5856608604,97.878,0.0,0.0,0.0,0.0,1778833845,64016305
1362,1778833845,124604933,gps,360988.4810642548,4065947.336948444,97.88,0.0,0.0,0.0,0.0,1778833845,189478815
1363,1778833845,249604868,gps,360988.7537477853,4065947.0772871836,97.866,0.0,0.0,0.0,0.0,1778833845,315359307
1364,1778833845,374604803,gps,360989.008751597,4065946.8290102095,97.87,0.0,0.0,0.0,0.0,1778833845,440162124
1365,1778833845,499604739,gps,360989.2546450887,4065946.5697843893,97.85300000000001,0.0,0.0,0.0,0.0,1778833845,565187986
1366,1778833845,624604674,gps,360989.5008992168,4065946.3327465663,97.871,0.0,0.0,0.0,0.0,1778833845,689388730
1367,1778833845,749604610,gps,360989.73804302514,4065946.084759896,97.85900000000001,0.0,0.0,0.0,0.0,1778833845,814899538
1368,1778833845,874604545,gps,360989.95768741815,4065945.859251502,97.87,0.0,0.0,0.0,0.0,1778833845,939043069
1369,1778833845,999604481,gps,360990.1773318229,4065945.6337431134,97.854,0.0,0.0,0.0,0.0,1778833846,71272431
1370,1778833846,124604416,gps,360990.3882265249,4065945.419473866,97.854,0.0,0.0,0.0,0.0,1778833846,190649651
1371,1778833846,249604351,gps,360990.59930154745,4065945.216298619,97.881,0.0,0.0,0.0,0.0,1778833846,315630860
1372,1778833846,374604286,gps,360990.79233622074,4065945.002319659,97.84700000000001,0.0,0.0,0.0,0.0,1778833846,440125171
1373,1778833846,499604222,gps,360990.9943009277,4065944.788195566,97.849,0.0,0.0,0.0,0.0,1778833846,564348716
